John Nightingale,9,10,11,8,14,9
Bernard Rosales,11,9,14,9,13,10
Norman Brown,15,10,12,9
Adam Adams,2,5,4,8,5,5
Kevin Davis,11,10,14,5,12,8
Anthony Escalante,12,6,13,6
Orval Wall,4,9,5,6,6,8,7,9
Reginald Paez,12,6,13,5
Charlie Young,6,10,7,6,8,8
Esteban Brown,10,5,12,5
Alfred King,12,10,15,9
Christopher Amaya,4,8,5,8,6,7,7,9
Timothy Buhr,1,10,3,8,8,10
Harold Houser,13,9,11,7,14,6
Jack Lee,6,5,7,6,1,5,3,8
Franklin Thompson,2,9,6,8,7,5
Robert Newton,1,9,3,6,4,5,5,5
James Perkins,15,10,11,10,14,6
Richard Freeman,8,5,4,5,5,8
Patrick Anderson,2,5,1,8,3,10
Patrick Matskin,1,7,3,6,2,9
Jack Nelson,9,6,12,6
Robert Beddo,2,5,4,9,5,9
Christopher Boshears,11,9,14,8,13,9
Steven Baranoski,8,9,6,9,7,10
Anthony Bradley,1,6,3,9,2,5
Jonathan Vichidvongsa,2,8,4,10,5,10
Richard White,4,9,5,9,6,8,7,7
Roger Snow,6,7,7,9,8,7
Thomas Silvers,11,10,14,6,15,5
Anton Wright,1,5,3,5,8,7
William Morrow,15,5,10,8
Ollie Tibbert,1,5,3,5,2,5
Bruce Woodard,6,5,7,9,2,9
Fred Brown,9,9,13,8
Leon Devenport,6,5,7,8,1,8,3,6
George Doolittle,4,10,5,6,6,6,7,6
Rolf Mcguire,1,5,3,6,4,10,5,10
Paul Giddins,9,6,10,8
Joseph Kimmerle,15,9,10,10
Dan Brousseau,1,5,3,10,6,8,7,8
Chris Broddy,10,9,13,6
Bennett Creed,9,10,11,9,14,9
Kenneth Sprankle,1,6,3,7,8,5
Nathan Sitton,15,10,9,8
Alberto Soileau,9,9,15,5
Israel Corbisiero,11,7,14,5,15,7
Michael Johnson,2,7,4,10,5,7
Mathew Kish,1,6,3,9,6,8,7,6
Vito Sheets,8,8,4,7,5,6
Kelly Bible,9,8,12,8
Dwight Johnson,11,9,14,10,15,9
Alonzo Grimes,10,8,15,5
Walter Hooks,11,10,14,7,9,10
Jesse Murray,1,5,3,6,6,7,7,9
Jefferson Cloud,1,7,3,6,4,6,5,10
Charles Miles,4,7,5,8,2,6
Hunter Laws,11,7,14,6,9,5
Kenneth Poirier,12,6,9,9
Robert Bonilla,6,9,7,6,4,9,5,5
David Lopez,11,7,14,6,15,10
Raul Fournier,8,7,6,7,7,5
Leon Golden,8,9,1,9,3,9
Michael Larocco,4,8,5,5,1,5,3,6
Eric Rubin,2,9,8,8
Albert Fleming,6,8,7,10,8,8
James Burton,10,9,12,5
Gerald Eunice,12,9,15,5
Joseph Fitch,15,7,11,10,14,7
Samuel Gamble,10,10,9,6
Bradley Scales,2,5,1,8,3,10
Mark Wright,2,9,1,6,3,7
Roy Fowler,2,7,8,6
Jeffrey Colvin,10,5,9,9
Loyd Delgado,6,8,7,9,8,9
Dennis Sanders,9,5,12,5
Terry Sandy,13,6,12,9
Steven Halverson,4,6,5,8,2,9
Claude Knight,8,8,6,8,7,7
Angel Drummond,13,9,12,10
Romeo Steffes,6,8,7,9,8,5
Jon Oddo,1,8,3,7,6,6,7,9
Michael Zalewski,6,8,7,6,2,6
Rene Holt,1,9,3,5,6,5,7,5
Nicky Vaillancourt,9,10,10,9
Mario Stone,2,10,1,8,3,10
Patrick Hayes,4,8,5,6,8,7
Grady Hankins,13,6,11,7,14,10
Billy Fender,12,7,11,8,14,6
Willie Brinkerhoff,10,9,9,5
Eric Hinshaw,1,5,3,7,6,10,7,9
Michael Whitehead,8,8,6,8,7,7
Alberto Gray,12,7,10,6
Eugene Cada,6,10,7,7,8,9
Steven Ingersoll,11,8,14,8,15,7
Lynn Smith,12,7,9,10
Edward Kasper,11,6,14,10,15,6
William Harris,6,6,7,9,2,10
Aaron Alcazar,4,5,5,7,2,5
Gregory Romeo,12,6,13,8
